kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.5,19498.3,65536,8388608,2,0,0
read,1,1,1.9,18900.9,65536,8388608,2,0,0
read,1,2,1.7,18931.8,65536,8388608,2,0,0
read,1,3,2.2,19018.9,65536,8388608,2,0,0
read,1,4,1.9,18903.5,65536,8388608,2,0,0
read,2,0,2.6,19690.9,65536,8388608,3,0,0
read,2,1,2,19545.9,65536,8388608,3,0,0
read,2,2,2.1,20305.9,65536,8388608,3,0,0
read,2,3,2.1,19421.7,65536,8388608,3,0,0
read,2,4,2.5,18842.1,65536,8388608,3,0,0
read,4,0,3,19010.2,65536,8388608,5,0,0
read,4,1,2.9,20509.5,65536,8388608,5,0,0
read,4,2,3.5,19287.7,65536,8388608,5,0,0
read,4,3,3.4,21909.4,65536,8388608,5,0,0
read,4,4,3.1,19920.3,65536,8388608,5,0,0
read,8,0,4.2,19248.9,65536,8388608,9,0,0
read,8,1,3.8,21683.4,65536,8388608,9,0,0
read,8,2,3.9,19662.1,65536,8388608,9,0,0
read,8,3,4,19378.9,65536,8388608,9,0,0
read,8,4,4.3,19729.2,65536,8388608,9,0,0
preview,1,0,0,30868.8,0,0,0,64558,126
preview,1,1,0,30039.6,0,0,0,64558,126
preview,1,2,0,30309.5,0,0,0,64558,126
preview,1,3,0,30141.5,0,0,0,64558,126
preview,1,4,0,31572.5,0,0,0,64558,126
