kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.8,19562.1,65536,8388608,1,0,0
read,1,1,1.7,19510.8,65536,8388608,1,0,0
read,1,2,2,21767.8,65536,8388608,1,0,0
read,1,3,1.8,19025.9,65536,8388608,1,0,0
read,1,4,1.8,19175.6,65536,8388608,1,0,0
read,2,0,2.2,20458.8,65536,8388608,1,0,0
read,2,1,2.4,19580.5,65536,8388608,1,0,0
read,2,2,2.1,19890.2,65536,8388608,1,0,0
read,2,3,2.1,19222.4,65536,8388608,1,0,0
read,2,4,2.3,20305.1,65536,8388608,1,0,0
read,4,0,2.7,20303.2,65536,8388608,1,0,0
read,4,1,3,21706,65536,8388608,1,0,0
read,4,2,2.9,20321.1,65536,8388608,1,0,0
read,4,3,3,19535.6,65536,8388608,1,0,0
read,4,4,3,19431,65536,8388608,1,0,0
read,8,0,3.6,19741.3,65536,8388608,1,0,0
read,8,1,5.4,21470.2,65536,8388608,1,0,0
read,8,2,5.4,21292.8,65536,8388608,1,0,0
read,8,3,4.6,18933.4,65536,8388608,1,0,0
read,8,4,5.5,19309.6,65536,8388608,1,0,0
preview,1,0,0,30822.5,0,0,0,64762,250
preview,1,1,0,32654.7,0,0,0,64762,250
preview,1,2,0,31780.6,0,0,0,64762,250
preview,1,3,0,32296.1,0,0,0,64762,250
preview,1,4,0,39575.9,0,0,0,64762,250
